Material,Material Desc.,Requested Qty.,Sales Unit,Status Text,Requested Del. Date,Date Received,Sold-To State,Sold-To Name,Ship-To Name
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,960.00,CS,Order Received,5/15/25,5/7/25,AL,AL Dept. of Education,Heart of Alabama Food Bank
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,480.00,CS,Order Received,5/15/25,5/8/25,AL,AL Dept. of Education,Feeding The Gulf Coast
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,800.00,CS,Order Received,5/15/25,5/7/25,AL,AL Dept. of Education,Community Food Bank of Central Alabama
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,640.00,CS,Order Received,5/15/25,5/7/25,AL,AL Dept. of Education,Food Bank of North Alabama
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,848.00,CS,Order Received,4/15/25,3/31/25,AR,AR Department of Education,Arkansas Food Bank
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,300.00,CS,Order Received,4/15/25,4/1/25,AR,AR Department of Education,ARVAC COLD STORAGE
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,292.00,CS,Order Received,4/15/25,3/31/25,AR,AR Department of Education,Foodbank of North Central Arkansas
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,308.00,CS,Order Received,7/15/25,7/10/25,AR,AR Department of Education,HARVEST TEXARKANA FOOD BANK- TEFAP
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,857.00,CS,Order Received,7/15/25,7/9/25,AR,AR Department of Education,Arkansas Food Bank
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,275.00,CS,Order Received,7/15/25,7/10/25,AR,AR Department of Education,River Valley Regional Food Bank
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,1440.00,CS,Order Received,4/15/25,4/1/25,AZ,AZ Dept. of Economic Security,ST MARY'S FOOD BANK ALLIANCE
100242,BLUEBERRY WILD FRZ CTN-8/3 LB,720.00,CS,Order Received,4/15/25,4/11/25,AZ,AZ Dept. of Economic Security,ST MARY'S FOOD BANK ALLIANCE
